Likes,Name,,Meaning
2168,Aan,•,Respect; Pride
672,Aar,•,Abbreviated from Aarav
425,Aas,•,Asylum
312,Abd,•,Slave; Servant
1295,Abi,•,My Father; All
1270,Adi,•,More; Extra; Companion of Prophet Muhammad; Jewel or Ornament; Myth Name; Beginning; First Born; Adornment; Jewel; Superior; Ornament
417,Aga,•,Sword
109,Aha,•,Ascertainment; Affirmation
320,Ahd,•,Knowledge
126,Ahi,•,Fawn; Serpent; Cloud; Water; Sun
608,Aja,•,Fire; Unborn
250,Aji,•,Taste
247,Aka,•,Creeper; Vine; Weed; Bad
267,Aki,•,Autumn; Bright; Short Form of Joakim
207,Aks,•,Reflection
320,Ala,•,Nobility; Excellence; Superior; All and Rich; Power; Rule; Truthful; Noble; Exalted; Defending Men
423,Ali,•,God; Excellent; Noble; Sublime; Light; Lofty; To Ascend; Exalted One; Also Mohammad's Son-in-law; Elevated
324,Ami,•,Nectar
318,Amr,•,Order; Command; Old Arabic Name; The Generous One
635,Anu,•,An Atom
81,Any,•,A New Beginning
86,Apa,•,Water
65,Api,•,Father in Rejoicing; Friend; Ally; Acquaintance
70,Apu,•,Virtuous; Divine; To be Pure; Flawless
135,Ara,•,Swift; Speedy; Ornament; Decoration
221,Ari,•,Lion; Brave; Inner Skin; Eagle; Lord Vishnu
45,Asy,•,Lord Ganesh
226,Ata,•,Abandon; One of Twins; From Fante; Gift; Donation; To Give; Twin; Father
200,Ati,•,Extremely
186,Aum,•,The Sacred Syllable
738,Avi,•,The Sun and Air; Honest; My Father is Exalted
192,Aws,•,Name of a Tribe in Madinah
221,Azb,•,Sweet
770,Aadi,•,First; Most Important
107,Aage,•,Carves the Stones; Stonefeild
279,Aapt,•,Trustworthy
308,Aarv,•,Peaceful; Melodious; Good Sound; Music
182,Aary,•,God Rama
183,Aavi,•,Smoke
672,Aayu,•,Span of Life; Long Life
269,Aban,•,Old Arabic Name; Dual of Abu; 8th Month of the Iranian Calendar; Name of a Certain Angel; Bloom of Love; Little Abbot; Waters
168,Abby,•,Father; My Father is Light; Father in Rejoicing
120,Abed,•,Worshipper; Adorer
117,Abel,•,Breath; Highborn and Steadfast; Child; Breathing Spirit; Son; Vapour
164,Abha,•,Shining; Luster; Glorious; Beauty
667,Abhi,•,Fearless; Better than Best
