Likes,Name,,Meaning
0,Bhuminder,•,Lord of the Earth
2,Bhumindra,•,Lord of the Earth
0,Bhumipati,•,Lord of the Earth
0,Bhumisaya,•,Sleeping on the Earth
0,Bhunayaka,•,Leader of the Earth
1,Bhupender,•,King of Earth
27,Bhupendra,•,A King who Rules All over Earth; King of Kings
0,Bhupindar,•,The King of Kings
24,Bhupinder,•,King of Kings; Emperor; King of the Earth
1,Bhuribala,•,Very Strong
2,Bhurivasu,•,One who has a Lot of Wealth
0,Bhushlesh,•,Mixed with Soil
1,Bhutapala,•,Protector of Living Beings; Spirits
0,Bhutaraja,•,Lord of Living Beings; Another Name for Vishnu
0,Bhutiraja,•,Lord of Existence
0,Bhuvanesa,•,Lord of the Earth
29,Bhuvanesh,•,The Lord of the World Vishnu; Lord of the Earth; Lord of the Universe; Lord Vishnu
0,Bhuvapati,•,Lord of the Atmosphere
5,Bibhavasu,•,The Sun; Fire
0,Biharilal,•,Child Krishna
7,Bikramjit,•,Name of a King
1,Bikrampal,•,Protector of Valour
1,Bimaljeet,•,Victory of the Pure
0,Bimalmeet,•,Pure and Friendly
1,Bimalprem,•,Pure Love
1,Bimbisaar,•,King of the Gupta Dynasty
3,Bimbisara,•,The Essence of the Absolute
1,Bimolendu,•,Add Meaning
0,Bindusara,•,Excellent Pearl; Truthful
2,Bipinjeet,•,Victory over Forest
0,Bipinmeet,•,Friend of Forest
1,Biresvara,•,Lord of Warriors
3,Birjeevan,•,Brave Life
1,Birsaroop,•,Embodiment of the Brave
0,Bishanjot,•,Light of the Supreme God
9,Bishanpal,•,Raised by God
0,Bishantek,•,Support of the Supreme God
0,Bishvajit,•,Victorious in the World
1,Bishwajit,•,Victory of World
0,Bishwamba,•,Add Meaning
2,Bisvajita,•,Victorious in the World
3,Biswajeet,•,Victory on the World
1,Biswaroop,•,Add Meaning
5,Biswatosh,•,Lord
0,Bjupinder,•,Add Meaning
0,Bodhamaya,•,Consisting of Pure Knowledge; Wise
2,Bodhendra,•,Lord of Intelligence
1,Bodhpreet,•,Love for the Learned One
1,Boovanesh,•,One who is Loved by God
6,Boudhayan,•,The Name of a Sage
0,Brahamdev,•,Supreme God
0,Brahamjot,•,One in Union with God
0,Brahampal,•,Lord's Fosterer
0,Brahamvir,•,God's Warrior
0,Brahmadya,•,Beginning with Brahma
1,Brahmagha,•,Add Meaning
0,Brahmagya,•,Add Meaning
0,Brahmapri,•,Devotee of Brahma
0,Brahmavid,•,Add Meaning
0,Brahmayuj,•,Harnesses by Prayer
0,Brahmayus,•,Lives as Long as Brahma
0,Brahmcari,•,Add Meaning
1,Brahmchet,•,Remaining Aware of God
0,Brahmdutt,•,Add Meaning
1,Brahmgyan,•,Entire Knowledgeable
0,Brahmjeet,•,Victory of God
6,Brahmleen,•,Absorbed in God's Love
1,Brahmnaam,•,Lord's Name
1,Brahmraaj,•,Lord's Kingdom
0,Brahmroop,•,God-like Person
0,Brahmveer,•,Lord's Warrior
0,Brajamani,•,Brilliant Jewel; Beautiful; Precious
2,Brajendra,•,Lord of Braj Land
2,Brajmohan,•,Name of Lord Krishna
0,Bratindra,•,Devoted to Right Deeds
1,Brhadagni,•,Mighty Fire
0,Brhadasva,•,Possesses Mighty Horses; Strong; Wealthy and Fleet-footed
0,Brhadatma,•,Has a Great Soul; Wise
0,Brhadbala,•,Add Meaning
2,Brhadiksu,•,Broadminded; With Great Insight
0,Brhadkaya,•,Add Meaning
0,Brhadraja,•,Add Meaning
0,Brhadvisa,•,Extremely Poisonous
0,Brhajjana,•,Add Meaning
0,Brhatkaya,•,Add Meaning
0,Brhatsena,•,Add Meaning
3,Brijanand,•,Shri Krishna
2,Brijender,•,Sikh Dance
0,Brijendra,•,Lord of Brij; Krishna
2,Brijmohan,•,Lord Krishna
0,Brishketu,•,Add Meaning
0,Broderick,•,From the Broad Ridge; Renowned Ruler; Surname; Brother; Form of Roderick
1,Buddhadeb,•,Lord Buddha
7,Buddhadev,•,Wise Person
0,Budhasuta,•,Son of Budha; Son of Wise
2,Budhjiwan,•,Wise Life
2,Budhpreet,•,Love of Wisdom
1,Budrasena,•,Add Meaning
1,Bulwinder,•,Powerful King
2,Burpinder,•,Add Meaning
1,Baapiraaju,•,Add Meaning
0,Bachanmeet,•,Friendly Promise
1,Bachanroop,•,Embodiment of Promise
0,Bachansukh,•,Happy Promise
5,Badarayana,•,Belongs to the Jujube Tree
8,Bagubhalan,•,A Lion; Very Strong
2,Bahadurjit,•,Victory of the Brave
1,Bahadurjot,•,Light of the Brave
2,Bahushruta,•,One who is Heard from Many Dimensions
5,Baidyanath,•,Lord Shiva
4,Bakhsheesh,•,The Blessed One
25,Balaaditya,•,Young Man
1,Balabhadra,•,Powerful
5,Baladhitya,•,Risen Sun
0,Balagopala,•,Young Cow-herd
3,Balagovind,•,Young Cow-herd; Infant Krishna; Baby Krishna
3,Balaichand,•,Add Meaning
0,Balakumara,•,Youthful
0,Balamohana,•,Attractive One
10,Balamurali,•,Young Krishna Holding Flute
7,Balasingam,•,Young Lion
1,Balasunder,•,Krishna; Handsome Child
4,Balatharun,•,God Name
0,Balbahadur,•,Mighty Brave
17,Balchandra,•,Young Moon
3,Balkrishan,•,Young Krishna
0,Balkrushna,•,Lord Krishna
0,Bandhupala,•,Protecting his Relatives
9,Banshidhar,•,Lord Krishna
2,Bansidhara,•,Bearer of the Flute
1,Barhaspati,•,Add Meaning
0,Baridbaran,•,Colour of Cloud
0,Basantdeep,•,Lamp of Spring
0,Basantmeet,•,Friend of Spring
2,Basantpaul,•,Preserver of Spring
0,Basantroop,•,Embodiment of Spring
0,Basavaraja,•,King of the Bulls; Extreme Strength
1,Bhaanodaya,•,Add Meaning
3,Bhabananda,•,Add Meaning
3,Bhadrakaya,•,Well Formed
2,Bhadraksha,•,Whose Eyes Reflect Auspiciousness
1,Bhadrapala,•,Protector of Goodness
1,Bhadrinath,•,Lord of Mount Badri
8,Bhagaditya,•,Sun which Grants Riches
0,Bhagatjeet,•,Devotee's Victory
0,Bhagatjeev,•,Devoted Life
0,Bhagatleen,•,Absorbed in God's Love
0,Bhagatmeet,•,Friend of God's Devotee
2,Bhagatnaam,•,One who Cherishes Naam
0,Bhagatprem,•,Love of Devotion
0,Bhagatrang,•,Coloured by Devotion to God
1,Bhagatroop,•,Embodiment of Loving Devotion
10,Bhagatveer,•,The Brave Devotee of God
2,Bhagavaana,•,Of Good Fortune; The Lord
2,Bhagavanth,•,The God
0,Bhageerath,•,A King of Suryavamsha who Brought River Ganga from Heavens to Earth
6,Bhagiratha,•,Owns a Glorious Chariot
5,Bhagubalan,•,A Lion; Very Strong
0,Bhagwandas,•,Serves God
3,Bhagwinder,•,Lucky King
1,Bhajandeep,•,Devotional Lamp
1,Bhajanjeet,•,Victory of Devotion
0,Bhajanmeet,•,Friendly Devotion
0,Bhajanroop,•,Embodiment of God's Love
0,Bhajanwant,•,Completely Devoted to God
0,Bhajgobind,•,Remembering the God
4,Bhamhanand,•,Happiness for Knowledge
4,Bhandhavya,•,Friendship; Relationship
0,Bhanudatta,•,Offered by the Sun; Sacred
7,Bhanumitra,•,Friend of Sun; Planet Mercury
2,Bharadvaja,•,Skylark; Strong and Fast
2,Bhargyaraj,•,Almghty
3,Bhartihari,•,Name of a Celebrated Poet
0,Bhartrhari,•,Worships God
3,Bhavamanyu,•,Creator of Universe
2,Bhavanchet,•,Pleasing Remembrance
1,Bhavanjeet,•,Pleasing Victory
1,Bhavanmeet,•,Pleasing Friend
0,Bhavatarak,•,God
4,BhavBhooti,•,The Universe
0,Bhavtaaran,•,To Swim Across the World's Ocean
0,BhavyaRaaj,•,Very Wonderfool
8,Bhawanidas,•,Devotee of Durga
0,Bheeshmaka,•,King of Vidarbha; Rukmini's Father
0,Bhibhavasu,•,The Sun and Fire
0,Bhirigaraj,•,A Bee
4,Bhoomindra,•,Bhoomivallabh King of the Earth
32,Bhoopendra,•,King of Kings; Emperor; King of the Earth
2,Bhoopinder,•,King of the Kings
1,Bhoorishav,•,King
1,Bhringaraj,•,A Bee
3,Bhubandeep,•,The Sun
3,Bhuvanpati,•,God of the Gods
0,Bhuwnendra,•,King of Earth; One who Rules the Earth; Dominating; Merciful; Graceful; Confident
2,Bijoyanada,•,Success in Every Where
0,Bikramjeet,•,Victory for Valour
1,Bimalinder,•,Pure King
1,Bimalpreet,•,Pure Love
1,Bipinpreet,•,Love for Forest
0,Birbahadur,•,Brave Warrior
1,Bishandeep,•,Lamp of Supreme God
0,Bishanjeet,•,Victory for Supreme God
2,Bishwanath,•,Lord of the World
0,Bisujaksha,•,Lord Vishnu
1,Boudhayana,•,Sage Name
5,Brahamjeet,•,God's Triumph
0,Brahamleen,•,Absorbed in God's Love
2,Brahmadutt,•,Dedicated to Lord Brahma
0,Brahmajeet,•,God's Triumph
1,Brahmanand,•,Supreme Joy
0,Brahmpreet,•,Lord's Love
1,Brahmsroop,•,God-like Appearance
6,Brajamohan,•,Name of Lord Krishna
5,Bramhanand,•,Happiness for Knowledge
0,Brihadeesh,•,Lord Shiva
0,Brihaspati,•,Sun
2,Brijamohan,•,Name of Lord Krishna
3,Brijkishor,•,Lord Krishna
2,Brijnandan,•,Lord Krishna
0,Brjamohana,•,Universally Attractive
9,Buddhadeva,•,Wise Person; Gautam Buddha
2,Buddhinath,•,God of Wisdom
0,Baalaaditya,•,Risen Sun
0,Baalagopaal,•,Baby Krishna
13,Baalkrishan,•,Young Krishna
1,Bachanpreet,•,Love for Keeping a Promise
6,Badriprasad,•,Gift of Badri
0,Bahadurjeet,•,Victory of the Brave
5,Bajrangbali,•,Strength of Diamond
0,Bala-Murali,•,God
2,Balaadithya,•,Raising Sun
2,Balachandar,•,Young Moon
6,Balachander,•,Crescent Moon
12,Balachandra,•,Crescent Moon
6,Balagopalan,•,Young Krishna
1,Balagovinda,•,Young Cow-herd
0,Balakrishan,•,Infant Krishna
7,Balakrishna,•,Young Krishna
16,Balamurugan,•,Name of Lord Muruga
12,Balashankar,•,Young Lord Shiva
0,Balasingham,•,Young Lion
2,Balinderjit,•,Victory of Strength
3,Bankebihari,•,Lord Krishna
0,Basantpreet,•,Love for Spring
3,Benoybhusan,•,Add Meaning
8,Bhadrakapil,•,Lord Shiva
2,Bhadramurti,•,Auspicious Form
4,Bhadranidhi,•,Goodness
3,Bhadrapriya,•,Auspicious; Beloved
4,Bhadrashree,•,Sandalwood Tree
2,Bhagatpreet,•,Love for Devotion
2,Bhagwantjot,•,Light of God
0,Bhagyaranth,•,A Fortunate and Wealthy Person
2,Bhaidyanath,•,Sage
1,Bhajanpreet,•,Love of Devotion
1,Bhalchandra,•,Moon-crested Lord
3,Bhamhaghosh,•,Chanting or Recitation of Vedas
1,BhanuPartap,•,Power of Sun
7,Bhanuprasad,•,Gift of Sun
2,Bhanupratap,•,Add Meaning
2,Bharanendra,•,Lord of the Earth
2,Bharmandala,•,Supporting; Nourishing; Another Name for Vishnu
0,Bhartrihari,•,Worships God
0,Bhavaboothi,•,Ashes of Shiva; A Sanskrit Author
2,Bhavanpreet,•,Pleasing Love
2,Bhgyanandan,•,Controller of Destiny
3,Bhodhisatva,•,Buddha
2,Bhoovanpati,•,Lord of the Lords
1,Bhramhanand,•,Ecstasy; Supreme Happiness
2,Bhrihadbanu,•,Son of Krishna and Satyabhama; Bhringaraj a Bee
0,Bhubaneswar,•,God; Lord of the World
1,Bhushanjeet,•,Victory over Ornaments
0,Bhutalingam,•,Shiva
1,Bhuvanendra,•,King
1,Bhuvaneswar,•,God; Lord of the World
3,Bhuvneshwar,•,Abode of God
0,Bikrampreet,•,Love for Valour
1,Bikshapathi,•,Lord Shiva
1,Bindumadhav,•,Add Meaning
0,Birdavinder,•,Brave King of Gods
0,Birinderjot,•,Lord's Light
1,Bishanpreet,•,Love for God
0,Bodhidharma,•,All-pervading Enlightened Mind; Enlightenment Teaching
2,Bodhisattva,•,Gautamn
0,Brahampreet,•,Love for the Supreme God
1,Brahamsarup,•,In the Likeness of God
2,Brahmaanand,•,Supreme Joy
3,Brahmabrata,•,Ascetic
0,Brahmbhagat,•,Devotee of God
3,Bramhaghosh,•,Chanting of Vedas
0,Brihaspathi,•,Teacher of Devas
0,Buddhamitra,•,Friend of the Wise
0,Buddhanandi,•,One who Enjoys Knowledge
5,Buddhapriya,•,One Liked by Buddha
1,Buddhipriya,•,Knowledge
0,Buddhisagar,•,Sea of Wisdom
2,Budhprakash,•,Light of the Intellect
0,Badariprasad,•,A Gift of Badrinarayan
1,Badrinarayan,•,Vishnu
2,Balachandrav,•,The Crescent Moon
3,Balaganapati,•,Beloved and Lovable Child
20,Balakrishnan,•,Baby Krishna
1,Balasundaram,•,Handsome Boy
0,Balavenkatan,•,God Vengatan
0,Balbinderjit,•,Victory of Power
1,Balendranath,•,Lord Shiva
1,Baljinderpal,•,Preserver of Strength
0,Balwinderjit,•,Victory of Strength
0,Balwinderpal,•,Preserver of Strength
3,Bankimcandra,•,Half Moon; Charming but Shrewd
0,Basaveshwara,•,Founder of Shiva Philosophy
0,Bhagavatamrt,•,The Nectar of Srimad Bhavatam
1,Bhagwantjeet,•,Victory of God
1,Bhagwantroop,•,In the Form of God
0,Bhakthapriya,•,God who is Fond of Devotees
0,Bhaktidayaka,•,Giver of Dedication; Devotion
1,Bhalinderjit,•,Victory of the Lord of Light
6,Bhanuprakash,•,Sun Light
2,Bhupindarpal,•,Preserved by God
10,Bhupinderpal,•,Protected by God
15,Bhuvaneshwar,•,Lord of the World
2,Bipinchandra,•,Forest Moon
0,Birinderdeep,•,Lord's Lamp
2,Birinderjeet,•,Lord's Victory
0,Birinderpaul,•,Protected by the Lord
1,Boddhidharma,•,Follower of Buddhist Doctrine
0,Brahmadhvaja,•,A Banner of Brahma; Meritorious; Virtuous
0,Brahmanandam,•,The Supreme Joy
0,Brahmavrunda,•,Lord Brahma
1,Brahmprakash,•,Light of the Lord
0,Badrinarayana,•,Name of Lord Vishnu
8,Bankimchandra,•,Half Moon; Charming but Shrewd
2,Bhabaniprasad,•,Lord Shiva's Gift; Bless of Maa Durga
2,Bhagatbhandar,•,Treasure of Loving Devotion
0,Bhagthavatsal,•,God Fond of Devotees
3,Bhagyanandana,•,One who is in Control of Destiny
1,Bharatchandra,•,God; Moon of India
0,Bhismasvaraja,•,Not Affected by Noise Sound
0,Bhoomivallabh,•,King of the Earth
2,Bhoothanathan,•,Ruler of the Earth
0,Bhupinderjeet,•,Victory of Supreme God
2,Bibhutibhusan,•,Lord Shiva
4,Birendramohan,•,Lord Almighty
0,Birinderpreet,•,Lord's Love
4,Buddhividhata,•,God of Knowledge; Talented
2,Bhagvaticharan,•,At the Feet of the God
0,Bhakthavatsala,•,Protector of Devotees
1,Bhaskaradithya,•,Sun; Sun God
3,Bhavanishankar,•,Lord Shiva
11,Bhoolokanathan,•,Ruler of the Earth
5,Bhaganetrabhide,•,The Remover of the Eye of Bhaga
197,Che,•,Name of Lord Siva; Jehovah Increases; Abbreviation of Jose; God will Add
189,Caha,•,Desirable; Charming
55,Cain,•,Craftsman; Warrior's Son; Spear; Archaic; Acquired; Lance; Beautiful; The Crop Grower; Oldest Child of Adam and Eve
32,Caka,•,To be Content; To Shine
26,Cala,•,Ever Moving
27,Cand,•,To Shine; To Gladden
30,Carl,•,Place Name; Farmer's Settlement; Man; Stupid Person; Idiot; Unintelligent Person; Free Man; Farmer
27,Caru,•,Agreeable; Charming; Beloved
23,Cary,•,Man; Place Name; Pretty Brook; Of the Dark Ones; Pleasent Stream
11,Casa,•,The Blue Jay
6,Cedi,•,Intelligent; Pleasant
76,Chad,•,Of Great Love; Warrior; Warlike; Name of a Saint; Fierce; Man; Battle
36,Chag,•,Moisture; Goat
132,Chan,•,Nickname for John; Light; Beloved; At Peace
39,Chaz,•,Free Man; Variant of Carl; Man; Form of Charles
68,Chet,•,Camp of the Soldiers; Fort; From the Fortified Camp; From the Rock Fortress; Awareness; Soldier's Camp; If
35,Chop,•,Tauhin
12,Clay,•,Settlement by the Clay Pit; Somebody who Lived on Clay Soils; Occupational; Place Name Involving Clay; Brook Near a Clay-bed; Mortal; Surname; Clay-pit Worker; Clay Settlement
9,Cola,•,A Long Robe
19,Cole,•,Darkly Complexioned; Coal; Renowned Mariner; Young Creature; Victory of the People; Prince of Red Roses
13,Cakra,•,Wheel; Circle; Discus; The Sun
25,Caksu,•,Eye
31,Caleb,•,Messenger; Dog; Faithful Dog; Bold; Courageous; Faith; Devotion; Whole Hearted
11,Camar,•,Rod with a Large Tuft of Hair; Animal Hair
9,Camas,•,Circular; Resembles a Wheel
17,Campa,•,Soothing
8,Campu,•,An Elaborate and Literary Form of Presenting a Story in Verse and Prose
10,Cancu,•,Renowned; Famous
6,Canda,•,Fierce; Passionate; Violent
24,Candy,•,Chocolate
6,Canga,•,Understanding; Wise
9,Canna,•,Renowned; Cane
2,Capin,•,Armed with a Bow
10,Casey,•,Watchful; Vigilant; Wakeful
9,Cecil,•,Blind; Sixth
14,Cesar,•,Hairy; Long Haired; Variant of Caesar; Hirsute; With Abundant Hai
16,Cetas,•,Intelligece; Soul; Heart; Mind
15,Chaga,•,Moisture; Goat
162,Chain,•,Peace
116,Chand,•,Moon; Shining Moon
81,Chane,•,Name of a God; Dependability
37,Chann,•,Wise; Young Wolf; Beauteous; Beloved
24,Chano,•,Abbreviation for Name Ending in Ano
26,Chari,•,Inteligence
54,Charu,•,Agreeable; Charming; Genteel
20,Chava,•,Life-giving
18,Chedi,•,Which Cuts and Break
27,Cheru,•,Graceful
16,Cheta,•,Quick
28,Chetu,•,Power of Intellect
23,Chevi,•,Ear
25,Chibi,•,Cute
22,Chiki,•,Sweet; Intelligent
18,Chiko,•,Light of Wisdom
12,Chiku,•,Name of a Fruit
30,Chinu,•,Small
21,Chira,•,Long Time Leave; Permanently
28,Chiru,•,Little
52,Chitt,•,Mind
10,Chity,•,Brilliant
10,Chloe,•,Iiwsmcazxhfne
32,Chola,•,A Long Robe
32,Chotu,•,Small
25,Chris,•,Bearer of Christ or Anointed; Form of Christopher; Christian
27,Chulu,•,Little Bit
17,Cicil,•,Good Future
16,Cihir,•,The Bird Chummum
14,Ciman,•,Curious
15,Citra,•,Excellent; Bright
11,Citta,•,Thought; Mind; Intellect
5,Clark,•,Clergyman; Cleric; Occupational Name; Scholar; Surname
10,Claud,•,Lame
6,Coksa,•,Pure; Clean
17,Colin,•,Victory of the People; Young Boy; Abbreviation of Nicholas People's Victory; Young Creature; Victor; People's Victory; Cub; Pup; Dove; Oak Meadow
7,Corey,•,Dweller in or Near a Hollow; Hill Hollow; Chosen; Raven; From the Round Hill or Hollow; Strong and Lively; Seething Pool; God's Servant
13,Cosmo,•,The Universe; Orderliness; Organization; Order; Beauty
10,Craig,•,Dweller by the Crag; From Near the Crag; Rock; Rocky Outcropping
6,Cuncu,•,Renowned
5,Cunda,•,Learn; Understand; Perceptor
15,Cupid,•,Of Love
7,Cupka,•,The Wooded Sandpiper
16,Cyril,•,Lordly; Proud; Masterful; Borne by Large Number of Saint
31,Cyrus,•,Like the Sun; First King of Iran; The Name of the Founder of the Persian Empire
37,Cadman,•,Warrior
15,Caidya,•,Intelligent; Administrator
15,Caitya,•,Pertaning to the Mind; The Individual Soul
13,Cakora,•,Shining; Content
10,Cakrin,•,With a Discus
10,Caksas,•,Look; Sight; Radiance; A Teacher
9,Caksus,•,Eyes; Sun
3,Calder,•,Cold Brook; Rough Waters; Stream; Cool Clear Spring
13,Calvin,•,Bald One
6,Camasa,•,Circular; Resembles a Wheel
6,Campat,•,Fallen from Glory
6,Canaka,•,Chickpea
10,Candra,•,Luminescent; Moon
9,Cannon,•,Occupational Name; Official of the Church
5,Canura,•,With Thin Thighs
7,Capala,•,Swift; Lightning
12,Caraka,•,Wanderer; A Wandering Religious Student
5,Carlos,•,Manly; Strong; Strong and Manly
3,Carmin,•,Covered with Hides
4,Carney,•,Warrior; Fighter
6,Carter,•,Transporter of Goods with a Cart; Cart Driver; Carter; Someone who Uses a Cart
4,Carver,•,Sculptor; One who Carves Wood; Wood Carver; Carver of Wood or Stone.
5,Caspar,•,He who Guards the Treasure; The Treasurer; The Name of One of the Three Wise Men in the New Testament
14,Casper,•,Treasurer; Keeper of the Treasurer; Treasure Bearer
7,Cataka,•,A Mythical Indian Bird Consisdered to Live on Rain Drops; A Poet
7,Catura,•,Clever' Skilful; Beautiful; Charming
9,Ceasar,•,Hairy Child
4,Cedija,•,Son of Cedi
11,Cedric,•,Battle Chieftain; War Leader; Chief; Kindly and Love
19,Ceeven,•,The Name Came to a Guy from Dream
3,Cetaka,•,Thoughtful
7,Cetana,•,Concious; Animated; Visible; Elegant
35,Ceyone,•,Rising Sun
32,Chadna,•,Love
50,Chahat,•,Desire; Wish; Love
69,Chahel,•,Good Cheer
10,Chaila,•,Handsome Youth
40,Chaiyn,•,Krishna
23,Chajju,•,Shade; Cool; Soothing
39,Chakor,•,A Bird Enamoured of the Moon
15,Chakra,•,Wheel; Circle; Discus; The Sun
15,Chakri,•,Lord Vishnu
15,Chalam,•,Flickering
14,Challa,•,A Ring
50,Chaman,•,Garden
7,Champa,•,Soothing
0,Champu,•,Intelligent
40,Chanak,•,Father of Chaanakya
26,Chanda,•,God's Compassion; Fierce; Passionate; Violent
13,Chande,•,Add Meaning
13,Chandi,•,Durga Name
76,Chandu,•,Moon
18,Chanky,•,Healthy; Strong
16,Channa,•,Renowned; Cane
15,Chanti,•,A Small Kid
34,Chapal,•,Quick; Swift; Lightning; Clever; Restless
34,Charak,•,An Ancient Physician
119,Charan,•,Feet
23,Charat,•,On the Way to Victory; Success
6,Chardy,•,A Burning Fire that Desires Love and Yet is Always Alone
12,Charin,•,Follower; Disciple
13,Charvk,•,Intelligent
48,Chaten,•,Perceptive; Consciousness; Life; Excellent Intelligence
12,Chatra,•,Student
9,Chatta,•,Umbrella
64,Chatur,•,Clever
32,Chayan,•,To Choose; Selection
18,Cheenu,•,Small
13,Chelan,•,Beautiful Lake
12,Chella,•,Liking for All
20,Chenna,•,Lord Vishnu
9,Chenni,•,Sweet as Sugar
42,Cheran,•,Moon; The Chera King; From the Chera - Kerala
19,Cherry,•,Fruit Name
48,Chetak,•,Rana Pratap's Horse
245,Chetan,•,Consciousness; Life
42,Chetas,•,Wisdom; Grandeur; Soul; Heart; Mind
9,Chetty,•,Lord Murugan
12,Chevel,•,Add Meaning
18,Chhabi,•,Image
23,Chhavi,•,Perception; Reflection
11,Chheda,•,Handsome
43,Chikku,•,Sweet; Fruit
13,Chilay,•,Devi Anusaya's Chlid Name in Shiv Puraan
40,Chiman,•,Curious
15,Chimbu,•,Shy
14,Chimon,•,Wisdom Gate
33,Chinar,•,Name of a Beautiful Tree
18,Chinja,•,Son
23,Chinky,•,Round Face
38,Chinna,•,Small; Little One; Gold
20,Chinnu,•,Sweet Baby
74,Chintu,•,Sun
21,Chinya,•,Sing
128,Chirag,•,Lamp; Prakash
22,Chitan,•,Thought
20,Chitra,•,Excellent; Bright; Happiness
22,Chitta,•,Mind
13,Chitti,•,Small
15,Chivan,•,Lord Shiva
8,Chokku,•,Cute; Beautiful
35,Cholan,•,A South Indian Dynasty
5,Chorei,•,Transparent Spirituality
6,Choska,•,Add Meaning
3,Chosui,•,Purifying Water
12,Choyen,•,Intelligent
4,Chozen,•,Clear / Transparent Meditation Practice
5,Chugai,•,Transcending Universe
5,Chulin,•,Add Meaning
5,Chulli,•,Cooking Fire
4,Chuman,•,Curious
10,Chunda,•,Sudha
28,Chunky,•,Strong; Healthy
7,Chunta,•,Cheating
8,Chunti,•,Pinching
7,Chyene,•,Add Meaning
6,Cikita,•,Experinced; Well Read
9,Cikura,•,Mountain; Hair on the Head
19,Cintan,•,Thought; Perception; Meditation
3,Cintya,•,Worthy of Thought
1,Cirayu,•,Long Lived
0,Cirini,•,Clothed in Bark or Rags
2,Citaka,•,Ornament of the Neck
0,Citayu,•,Born of Intellect
3,Citrya,•,Brilliant; Sparkling
2,Cittin,•,Thinker; Wise
2,Claire,•,Bright; Famous
1,Conner,•,High Desire
1,Cooper,•,Barrel Maker; Seller; Surname
1,Cortez,•,Surname; Place Name; Conqueror
2,Coshel,•,Add Meaning
0,Cummum,•,Adorable
2,Curtis,•,Polite; Courteous
2,Cakraki,•,Possessing the Discus; Lord Vishnu
2,Cakresa,•,Lord of the Discus; Lord Vishnu
3,Cakrika,•,Disus Bearer
1,Caksana,•,Soothing to the Eyes
2,Caksusa,•,Seer
3,Calvert,•,Cowherd; Cowboy; Occupational Name; Calf-herder; Shepherd
3,Camarsa,•,Add Meaning
0,Cameron,•,Bent Nose; Crooked Stream
1,Campaka,•,Champaka Tree
2,Campesa,•,Lord of a Campa a Town in Anga
1,Campeya,•,Fruit of the Kovidara Tree
1,Camundi,•,Slayer of Canda and Munda
1,Canakya,•,Son of Canaka
1,Cananda,•,Add Meaning
3,Cancala,•,Moves; Wind; Lover
0,Candaka,•,The Shining One; Pleasing; The Moon
0,Candana,•,Sandalwood; Soothing; Dear to the Gods
0,Candasa,•,Moon Like
1,Candila,•,Angry; Hot
1,Candrin,•,Golden
3,Canduri,•,Like the Moon
2,Cariman,•,Beauty; Movable
0,Caritra,•,Character; Nature; Behaviour
0,Carlton,•,Settlement of Free Men; Place Name; Farmer's Settlement; Form of Carleton; Farmer's Town; From Charles Dwelling; From the Land Between the Streams; From Carl's Farm; Settlement of the Free Peasants
0,Carrick,•,Rock
0,Carroll,•,Champion
3,Cetarka,•,Add Meaning
1,Cetrama,•,Pervding the Consciousness
3,Chabila,•,Charming; Splendid; Beautiful
2,Chagala,•,Goat; A Sage
2,Chaggan,•,The Zodiac Sign of Aries
12,Chaital,•,Consciousness; New Year
71,Chaitan,•,Name of Kautilya; The Great Scholar
8,Chaitra,•,First Month of the Year
10,Chaitya,•,Pertaining to the Mind; Individual Soul; A Stupa Built in Jain or Buddhist Places of Worship
2,Chakesh,•,Add Meaning
6,Chakora,•,A Bird
11,Chakrit,•,Brilliant
26,Chakshu,•,Eye
25,Champak,•,A Flower
3,Chanaky,•,Son of Canaka
1,Chanchu,•,Add Meaning
16,Chandak,•,The Moon
52,Chandan,•,Sandalwood Tree
26,Chandar,•,Moon
2,Chanden,•,Flower; Moon; Sandal
23,Chander,•,Moon
27,Chandra,•,The Moon; A Shining Moon; Night of Twilight
19,Chandru,•,Moon
2,Chankya,•,Great Political Man
13,Channan,•,Fragrance Like Sandalwood; Full of Fragrance
1,Chapala,•,Swift; Lightning
1,Chapman,•,Merchant; Trader; Peddler
2,Charaka,•,Vagabond; Wanderer
5,Charana,•,Foot
3,Charbak,•,One who Speaks Well
27,Charish,•,Grace
45,Charith,•,Character
8,Charles,•,Manly; Strong; Free Man; Full-grown; A Man
7,Charlie,•,Handsome; Manly; Form of Charles; Strong; Free-woman; Cutest Boy
4,Charnak,•,Those who have a Good Concentration; Power and Trust for Others
78,Charvik,•,Intelligent
15,Chatura,•,Clever
1,Chatwin,•,Warlike Friend
4,Chavrik,•,Add Meaning
4,Chayana,•,Moon
10,Chayank,•,Another Name for the Moon
8,Chellan,•,Precious; Loveable
2,Cheluva,•,Looking Handsome
7,Chemian,•,Richer
6,Chemion,•,Add Meaning
18,Chemmal,•,Premier; Best
6,Chenraj,•,A Kings Chain
1,Chester,•,Camp of Soldiers; Fort; From the Rock Fortress; Stone Camp; From the Fortified Camp; Castle Dweller
0,Chestha,•,To Try
4,Chetana,•,Consciousness
13,Chethan,•,Charming
6,Chetuya,•,Add Meaning
5,Chezian,•,Graceful
4,Chhavvi,•,Image; Radiance
2,Chikodi,•,Add Meaning
4,Chimana,•,Curious
3,Chindan,•,Add Meaning
4,Chinkal,•,Lord Shiva
4,Chinkoo,•,Chinky or Round Face
